category,date,value,type,age
general,2019-01-01,1,boolean,NA
general,2019-04-22,1,boolean,NA
general,2019-05-01,1,boolean,NA
general,2019-05-30,1,boolean,NA
general,2019-06-10,1,boolean,NA
general,2019-07-21,1,boolean,NA
general,2019-08-15,1,boolean,NA
general,2019-11-01,1,boolean,NA
general,2019-11-11,1,boolean,NA
general,2019-12-25,1,boolean,NA
general,2020-01-01,1,boolean,NA
general,2020-04-13,1,boolean,NA
general,2020-05-01,1,boolean,NA
general,2020-05-21,1,boolean,NA
general,2020-06-01,1,boolean,NA
general,2020-07-21,1,boolean,NA
general,2020-08-15,1,boolean,NA
general,2020-11-01,1,boolean,NA
general,2020-11-11,1,boolean,NA
general,2020-12-25,1,boolean,NA
general,2021-01-01,1,boolean,NA
general,2021-04-05,1,boolean,NA
general,2021-05-01,1,boolean,NA
general,2021-05-13,1,boolean,NA
general,2021-06-24,1,boolean,NA
general,2021-07-21,1,boolean,NA
general,2021-08-15,1,boolean,NA
general,2021-11-01,1,boolean,NA
general,2021-11-11,1,boolean,NA
general,2021-12-25,1,boolean,NA
schools_closed,2019-01-01,1,boolean,0
schools_closed,2019-01-02,1,boolean,0
schools_closed,2019-01-03,1,boolean,0
schools_closed,2019-01-04,1,boolean,0
schools_closed,2019-01-05,1,boolean,0
schools_closed,2019-01-06,1,boolean,0
schools_closed,2019-03-04,1,boolean,0
schools_closed,2019-03-05,1,boolean,0
schools_closed,2019-03-06,1,boolean,0
schools_closed,2019-03-07,1,boolean,0
schools_closed,2019-03-08,1,boolean,0
schools_closed,2019-03-09,1,boolean,0
schools_closed,2019-03-10,1,boolean,0
schools_closed,2019-04-08,1,boolean,0
schools_closed,2019-04-09,1,boolean,0
schools_closed,2019-04-10,1,boolean,0
schools_closed,2019-04-11,1,boolean,0
schools_closed,2019-04-12,1,boolean,0
schools_closed,2019-04-13,1,boolean,0
schools_closed,2019-04-14,1,boolean,0
schools_closed,2019-04-15,1,boolean,0
schools_closed,2019-04-16,1,boolean,0
schools_closed,2019-04-17,1,boolean,0
schools_closed,2019-04-18,1,boolean,0
schools_closed,2019-04-19,1,boolean,0
schools_closed,2019-04-20,1,boolean,0
schools_closed,2019-04-21,1,boolean,0
schools_closed,2019-04-22,1,boolean,0
schools_closed,2019-07-01,1,boolean,0
schools_closed,2019-07-02,1,boolean,0
schools_closed,2019-07-03,1,boolean,0
schools_closed,2019-07-04,1,boolean,0
schools_closed,2019-07-05,1,boolean,0
schools_closed,2019-07-06,1,boolean,0
schools_closed,2019-07-07,1,boolean,0
schools_closed,2019-07-08,1,boolean,0
schools_closed,2019-07-09,1,boolean,0
schools_closed,2019-07-10,1,boolean,0
schools_closed,2019-07-11,1,boolean,0
schools_closed,2019-07-12,1,boolean,0
schools_closed,2019-07-13,1,boolean,0
schools_closed,2019-07-14,1,boolean,0
schools_closed,2019-07-15,1,boolean,0
schools_closed,2019-07-16,1,boolean,0
schools_closed,2019-07-17,1,boolean,0
schools_closed,2019-07-18,1,boolean,0
schools_closed,2019-07-19,1,boolean,0
schools_closed,2019-07-20,1,boolean,0
schools_closed,2019-07-21,1,boolean,0
schools_closed,2019-07-22,1,boolean,0
schools_closed,2019-07-23,1,boolean,0
schools_closed,2019-07-24,1,boolean,0
schools_closed,2019-07-25,1,boolean,0
schools_closed,2019-07-26,1,boolean,0
schools_closed,2019-07-27,1,boolean,0
schools_closed,2019-07-28,1,boolean,0
schools_closed,2019-07-29,1,boolean,0
schools_closed,2019-07-30,1,boolean,0
schools_closed,2019-07-31,1,boolean,0
schools_closed,2019-08-01,1,boolean,0
schools_closed,2019-08-02,1,boolean,0
schools_closed,2019-08-03,1,boolean,0
schools_closed,2019-08-04,1,boolean,0
schools_closed,2019-08-05,1,boolean,0
schools_closed,2019-08-06,1,boolean,0
schools_closed,2019-08-07,1,boolean,0
schools_closed,2019-08-08,1,boolean,0
schools_closed,2019-08-09,1,boolean,0
schools_closed,2019-08-10,1,boolean,0
schools_closed,2019-08-11,1,boolean,0
schools_closed,2019-08-12,1,boolean,0
schools_closed,2019-08-13,1,boolean,0
schools_closed,2019-08-14,1,boolean,0
schools_closed,2019-08-15,1,boolean,0
schools_closed,2019-08-16,1,boolean,0
schools_closed,2019-08-17,1,boolean,0
schools_closed,2019-08-18,1,boolean,0
schools_closed,2019-08-19,1,boolean,0
schools_closed,2019-08-20,1,boolean,0
schools_closed,2019-08-21,1,boolean,0
schools_closed,2019-08-22,1,boolean,0
schools_closed,2019-08-23,1,boolean,0
schools_closed,2019-08-24,1,boolean,0
schools_closed,2019-08-25,1,boolean,0
schools_closed,2019-08-26,1,boolean,0
schools_closed,2019-08-27,1,boolean,0
schools_closed,2019-08-28,1,boolean,0
schools_closed,2019-08-29,1,boolean,0
schools_closed,2019-08-30,1,boolean,0
schools_closed,2019-08-31,1,boolean,0
schools_closed,2019-10-28,1,boolean,0
schools_closed,2019-10-29,1,boolean,0
schools_closed,2019-10-30,1,boolean,0
schools_closed,2019-10-31,1,boolean,0
schools_closed,2019-11-01,1,boolean,0
schools_closed,2019-11-02,1,boolean,0
